sw_rain_intensity_class,sw_cloudburst_flag,sw_landslide_risk
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
3.25,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
0.32577565632458233,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
1.625,1.0,1.0
